seed,fold,model,model_label,SUBCLASS,f1
42,2,split_event_structural,Split-event Word TF-IDF + structural,SARC,0.16071428571428573
42,2,split_event_structural,Split-event Word TF-IDF + structural,SKCM,0.6095238095238096
42,2,split_event_structural,Split-event Word TF-IDF + structural,STES,0.49206349206349204
42,2,split_event_structural,Split-event Word TF-IDF + structural,TGCT,0.41509433962264153
42,2,split_event_structural,Split-event Word TF-IDF + structural,THCA,0.6185567010309279
42,2,split_event_structural,Split-event Word TF-IDF + structural,THYM,0.2727272727272727
42,2,split_event_structural,Split-event Word TF-IDF + structural,UCEC,0.5135135135135135
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,ACC,0.8695652173913043
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,BLCA,0.21212121212121213
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,BRCA,0.5476190476190477
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,CESC,0.12121212121212122
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,COAD,0.6103896103896104
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,DLBC,0.3333333333333333
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,GBMLGG,0.23622047244094488
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,HNSC,0.256
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,KIPAN,0.16666666666666666
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,KIRC,0.09009009009009009
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,LAML,0.5882352941176471
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,LGG,0.33707865168539325
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,LIHC,0.1839080459770115
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,LUAD,0.2
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,LUSC,0.2727272727272727
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,OV,0.3211009174311927
42,3,raw_cell_tfidf,Raw-cell Word TF-IDF,PAAD,0.19047619047619047
